VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 2.286060e+00 9.829978e-01 5.834690e-01 9.942839e-01 9.762669e-01 9.776793e-01 3 0 -5.584013e-02 5.237666e-01 2.269100e-01 1.489330e-02 -2.968566e-01
3.654849e-01 2.535391e+00 9.938560e-01 7.125582e-01 9.952773e-01 9.917195e-01 1.035631e+00 3 0 -4.735570e-02 5.244183e-01 1.385632e-01 7.965411e-03 -3.858551e-01
1.225982e-01 2.262017e+00 9.811431e-01 5.850925e-01 9.385971e-01 9.735456e-01 9.384045e-01 3 0 -6.093126e-02 5.145516e-01 2.067868e-01 1.029667e-01 -3.077648e-01
1.154849e-01 2.511322e+00 9.921499e-01 7.120924e-01 9.613833e-01 9.893017e-01 1.012583e+00 3 0 -5.138898e-02 5.165326e-01 1.226172e-01 9.419195e-02 -3.939155e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 2.535391e+00 9.939262e-01 7.149703e-01 9.956500e-01 9.914543e-01 1.037252e+00 3 0 -3.716776e-02 4.181132e-01 1.380686e-01 1.189372e-02 -2.800445e-01
3.539337e-01 2.784302e+00 9.982340e-01 8.166614e-01 9.964881e-01 9.976606e-01 1.089193e+00 3 0 -3.477957e-02 4.152097e-01 7.907407e-02 7.303651e-03 -3.361356e-01
1.154849e-01 2.511322e+00 9.926719e-01 7.145101e-01 9.618083e-01 9.896635e-01 1.014172e+00 3 0 -4.164322e-02 4.153512e-01 1.247724e-01 7.001352e-02 -2.905787e-01
1.039337e-01 2.760192e+00 9.971449e-01 8.155956e-01 9.771310e-01 9.961335e-01 1.076245e+00 3 0 -3.798792e-02 4.130902e-01 6.887148e-02 6.485203e-02 -3.442187e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 2.784302e+00 9.981928e-01 8.191085e-01 9.967087e-01 9.974229e-01 1.090757e+00 3 0 -2.390353e-02 3.007346e-01 7.880301e-02 9.193023e-03 -2.219315e-01
3.383884e-01 3.032831e+00 9.996719e-01 8.912228e-01 9.974824e-01 9.995843e-01 1.130552e+00 3 0 -2.400012e-02 2.945261e-01 4.231675e-02 6.124745e-03 -2.522093e-01
1.039337e-01 2.760192e+00 9.974454e-01 8.180775e-01 9.773834e-01 9.963686e-01 1.077790e+00 3 0 -2.728267e-02 3.009595e-01 7.071132e-02 4.487712e-02 -2.302482e-01
8.838835e-02 3.008671e+00 9.990375e-01 8.902632e-01 9.870906e-01 9.986979e-01 1.123616e+00 3 0 -2.625226e-02 2.949698e-01 3.626521e-02 4.167043e-02 -2.587046e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383884e-01 3.032831e+00 9.995907e-01 8.932282e-01 9.976384e-01 9.993968e-01 1.131840e+00 3 0 -1.476569e-02 1.972084e-01 4.219519e-02 6.767808e-03 -1.550132e-01
3.194463e-01 3.281034e+00 1.000028e+00 9.398466e-01 9.983203e-01 1.000050e+00 1.158791e+00 3 0 -1.543451e-02 1.899594e-01 2.123457e-02 4.654867e-03 -1.687249e-01
8.838835e-02 3.008671e+00 9.991854e-01 8.923061e-01 9.872644e-01 9.988280e-01 1.124892e+00 3 0 -1.703176e-02 1.983094e-01 3.762499e-02 2.720266e-02 -1.606844e-01
6.944628e-02 3.256814e+00 9.996876e-01 9.391879e-01 9.930753e-01 9.995741e-01 1.155263e+00 3 0 -1.686875e-02 1.910742e-01 1.788509e-02 2.506926e-02 -1.731891e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.194463e-01 3.281034e+00 9.999534e-01 9.412723e-01 9.984341e-01 9.999197e-01 1.159719e+00 3 0 -8.667019e-03 1.187563e-01 2.119884e-02 4.635322e-03 -9.755743e-02
2.978354e-01 3.528974e+00 1.000066e+00 9.689529e-01 9.989745e-01 1.000093e+00 1.176182e+00 3 0 -9.206750e-03 1.123682e-01 9.986113e-03 3.211161e-03 -1.023821e-01
6.944628e-02 3.256814e+00 9.997522e-01 9.406427e-01 9.931988e-01 9.996380e-01 1.156184e+00 3 0 -1.005782e-02 1.197964e-01 1.878920e-02 1.556669e-02 -1.010071e-01
4.783543e-02 3.504695e+00 9.998963e-01 9.685669e-01 9.964861e-01 9.998566e-01 1.174486e+00 3 0 -1.005315e-02 1.133550e-01 8.250203e-03 1.414300e-02 -1.051048e-01
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 3.528974e+00 1.000015e+00 9.698579e-01 9.990514e-01 1.000014e+00 1.176778e+00 3 0 -4.786745e-03 6.598973e-02 9.993667e-03 2.906831e-03 -5.599606e-02
2.743863e-01 3.776730e+00 1.000042e+00 9.850290e-01 9.994301e-01 1.000058e+00 1.185963e+00 3 0 -5.085114e-03 6.129645e-02 4.398311e-03 2.011532e-03 -5.689814e-02
4.783543e-02 3.504695e+00 9.999227e-01 9.694910e-01 9.965680e-01 9.998856e-01 1.175078e+00 3 0 -5.583464e-03 6.670543e-02 8.803930e-03 8.372900e-03 -5.790150e-02
2.438630e-02 3.752394e+00 9.999626e-01 9.848278e-01 9.983207e-01 9.999476e-01 1.185194e+00 3 0 -5.549441e-03 6.195313e-02 3.554700e-03 7.478424e-03 -5.839843e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 3.776730e+00 1.000013e+00 9.855494e-01 9.994769e-01 1.000015e+00 1.186308e+00 3 0 -2.471582e-03 3.395249e-02 4.421214e-03 1.657963e-03 -2.953127e-02
2.500000e-01 4.024386e+00 1.000020e+00 9.932507e-01 9.997117e-01 1.000028e+00 1.191024e+00 3 0 -2.600177e-03 3.094687e-02 1.813337e-03 1.144182e-03 -2.913353e-02
2.438630e-02 3.752394e+00 9.999732e-01 9.853595e-01 9.983698e-01 9.999604e-01 1.185538e+00 3 0 -2.897911e-03 3.436568e-02 3.870267e-03 4.213620e-03 -3.049541e-02
6.698724e-09 4.000000e+00 9.999852e-01 9.931554e-01 9.992471e-01 9.999792e-01 1.190697e+00 3 0 -2.835796e-03 3.131566e-02 1.428641e-03 3.699670e-03 -2.988702e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 4.024386e+00 1.000006e+00 9.935242e-01 9.997372e-01 1.000007e+00 1.191206e+00 3 0 -1.188259e-03 1.621504e-02 1.835754e-03 8.595250e-04 -1.437929e-02
2.256137e-01 4.272034e+00 1.000009e+00 9.971539e-01 9.998669e-01 1.000012e+00 1.193447e+00 3 0 -1.231227e-03 1.449739e-02 6.995502e-04 5.914176e-04 -1.379784e-02
6.698724e-09 4.000000e+00 9.999896e-01 9.934348e-01 9.992736e-01 9.999849e-01 1.190879e+00 3 0 -1.400170e-03 1.642533e-02 1.596266e-03 1.977059e-03 -1.482906e-02
-2.438628e-02 4.247606e+00 9.999939e-01 9.971120e-01 9.996842e-01 9.999915e-01 1.193316e+00 3 0 -1.341682e-03 1.468037e-02 5.349194e-04 1.708638e-03 -1.414545e-02
