VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.680554e+00 -4.718966e+00 9.999981e-01 9.999986e-01 9.999981e-01 9.999973e-01 1.195227e+00 1 0 2.109448e-06 2.562109e-06 3.660218e-06 3.327825e-06 1.098109e-06
-7.702165e+00 -4.471026e+00 9.999988e-01 9.999992e-01 9.999989e-01 9.999983e-01 1.195228e+00 1 0 1.287681e-06 2.445724e-06 2.364610e-06 3.220866e-06 -8.111368e-08
-7.930554e+00 -4.743185e+00 9.999972e-01 9.999980e-01 9.999972e-01 9.999961e-01 1.195226e+00 1 0 1.889569e-06 3.347810e-06 3.361564e-06 4.556344e-06 1.375408e-08
-7.952165e+00 -4.495305e+00 9.999982e-01 9.999988e-01 9.999982e-01 9.999974e-01 1.195227e+00 1 0 1.130460e-06 3.256920e-06 2.130500e-06 4.527654e-06 -1.126419e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.702165e+00 -4.471026e+00 9.999988e-01 9.999992e-01 9.999989e-01 9.999983e-01 1.195228e+00 1 0 1.356956e-06 1.519058e-06 2.390345e-06 2.589955e-06 8.712871e-07
-7.725614e+00 -4.223270e+00 9.999992e-01 9.999995e-01 9.999994e-01 9.999989e-01 1.195228e+00 1 0 7.817807e-07 1.416265e-06 1.277216e-06 2.457950e-06 -1.390487e-07
-7.952165e+00 -4.495305e+00 9.999982e-01 9.999988e-01 9.999983e-01 9.999975e-01 1.195227e+00 1 0 1.224781e-06 2.089746e-06 2.178934e-06 3.696142e-06 8.918865e-08
-7.975614e+00 -4.247606e+00 9.999988e-01 9.999993e-01 9.999991e-01 9.999983e-01 1.195228e+00 1 0 6.852540e-07 1.984876e-06 1.112324e-06 3.580707e-06 -8.725522e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.725614e+00 -4.223270e+00 9.999992e-01 9.999995e-01 9.999995e-01 9.999989e-01 1.195228e+00 1 0 8.392516e-07 6.342306e-07 1.271863e-06 2.106923e-06 6.376321e-07
-7.750000e+00 -3.975614e+00 9.999994e-01 9.999996e-01 9.999999e-01 9.999991e-01 1.195229e+00 1 0 5.216696e-07 5.835728e-07 3.655267e-07 2.022585e-06 -2.180461e-07
-7.975614e+00 -4.247606e+00 9.999988e-01 9.999993e-01 9.999991e-01 9.999984e-01 1.195228e+00 1 0 7.672818e-07 9.588220e-07 1.129190e-06 3.023836e-06 1.703684e-07
-8.000000e+00 -4.000000e+00 9.999991e-01 9.999995e-01 9.999998e-01 9.999987e-01 1.195228e+00 1 0 4.676279e-07 8.967895e-07 2.554107e-07 2.942181e-06 -6.413788e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -3.975614e+00 9.999994e-01 9.999997e-01 1.000000e+00 9.999991e-01 1.195229e+00 1 0 5.807990e-07 -1.644282e-07 3.152090e-07 2.135783e-06 4.796372e-07
-7.774386e+00 -3.727966e+00 9.999992e-01 9.999996e-01 1.000000e+00 9.999989e-01 1.195229e+00 1 0 4.834147e-07 -1.773365e-07 -4.895858e-07 2.094064e-06 -3.122493e-07
