VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-8.088388e+00 -3.008671e+00 9.999951e-01 9.999976e-01 1.000004e+00 9.999932e-01 1.195231e+00 1 0 -2.339441e-08 -3.008691e-07 -4.433936e-07 5.140924e-06 -1.425245e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.838388e+00 -2.984176e+00 9.999956e-01 9.999976e-01 1.000004e+00 9.999939e-01 1.195230e+00 1 0 -5.260607e-08 7.269373e-07 2.578003e-07 -4.333577e-07 -4.691371e-07
-7.853934e+00 -2.735691e+00 9.999964e-01 9.999978e-01 1.000003e+00 9.999950e-01 1.195230e+00 1 0 -1.295028e-06 3.389734e-07 2.145839e-06 -2.280297e-06 1.806866e-06
-8.088388e+00 -3.008671e+00 9.999952e-01 9.999976e-01 1.000004e+00 9.999933e-01 1.195230e+00 1 0 -1.999050e-07 1.746767e-06 3.974755e-07 -2.243521e-06 -1.349291e-06
-8.103934e+00 -2.760192e+00 9.999967e-01 9.999981e-01 1.000003e+00 9.999954e-01 1.195230e+00 1 0 -1.349213e-06 1.811234e-06 2.119745e-06 -3.929473e-06 3.085117e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.853934e+00 -2.735691e+00 9.999966e-01 9.999978e-01 1.000003e+00 9.999953e-01 1.195230e+00 1 0 -1.739005e-06 3.475492e-06 3.152035e-06 -1.194742e-05 -3.234564e-07
-7.865485e+00 -2.486819e+00 9.999994e-01 9.999987e-01 1.000000e+00 9.999992e-01 1.195228e+00 1 0 -1.507094e-06 4.293532e-06 4.110600e-06 -1.113149e-05 -1.829321e-07
-8.103934e+00 -2.760192e+00 9.999969e-01 9.999981e-01 1.000003e+00 9.999957e-01 1.195230e+00 1 0 -1.603992e-06 3.153551e-06 3.115447e-06 -1.365125e-05 -3.810435e-08
-8.115485e+00 -2.511322e+00 1.000000e+00 9.999990e-01 9.999997e-01 1.000000e+00 1.195228e+00 1 0 -1.190082e-06 4.434275e-06 3.617656e-06 -1.109363e-05 -8.166192e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.865485e+00 -2.486819e+00 9.999996e-01 9.999988e-01 1.000000e+00 9.999994e-01 1.195228e+00 1 0 -1.692362e-06 3.307404e-06 4.259102e-06 -1.825668e-05 9.516977e-07
-7.872598e+00 -2.237513e+00 1.000003e+00 9.999997e-01 9.999960e-01 1.000005e+00 1.195225e+00 1 0 3.310156e-06 4.858631e-06 -5.006955e-07 -1.645836e-05 -5.359326e-06
-8.115485e+00 -2.511322e+00 1.000000e+00 9.999991e-01 9.999997e-01 1.000000e+00 1.195228e+00 1 0 -8.557662e-07 -1.847620e-06 3.360577e-06 -1.386423e-05 5.208197e-06
-8.122598e+00 -2.262017e+00 1.000003e+00 9.999988e-01 9.999965e-01 1.000004e+00 1.195225e+00 1 0 4.323602e-06 1.198134e-06 -1.923270e-06 -1.055269e-05 -3.121405e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.872598e+00 -2.237513e+00 1.000003e+00 9.999998e-01 9.999960e-01 1.000005e+00 1.195225e+00 1 0 3.644081e-06 -6.688468e-06 -1.607435e-06 -1.591935e-05 5.081033e-06
-7.875000e+00 -1.987748e+00 1.000005e+00 9.999985e-01 9.999927e-01 1.000008e+00 1.195222e+00 1 0 2.072816e-05 -1.084781e-06 -2.270872e-05 -7.970857e-06 -2.162394e-05
-8.122598e+00 -2.262017e+00 1.000003e+00 9.999991e-01 9.999968e-01 1.000004e+00 1.195226e+00 1 0 5.936236e-06 -2.336819e-05 -4.293161e-06 2.663954e-06 1.907503e-05
-8.125000e+00 -2.012252e+00 9.999994e-01 9.999935e-01 9.999984e-01 9.999993e-01 1.195224e+00 1 0 2.320938e-05 -1.600771e-05 -2.637228e-05 1.667652e-05 -1.036457e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.875000e+00 -1.987748e+00 1.000005e+00 9.999991e-01 9.999934e-01 1.000007e+00 1.195223e+00 1 0 2.316846e-05 -4.008779e-05 -2.873517e-05 2.103861e-05 1.135262e-05
-7.872598e+00 -1.737513e+00 9.999968e-01 9.999889e-01 9.999991e-01 9.999957e-01 1.195222e+00 1 0 6.182474e-05 -3.591307e-05 -7.949921e-05 3.534709e-05 -4.358614e-05
-8.125000e+00 -2.012252e+00 9.999985e-01 9.999945e-01 9.999998e-01 9.999981e-01 1.195226e+00 1 0 2.768713e-05 -7.532514e-05 -3.483822e-05 7.207971e-05 4.048693e-05
-8.122598e+00 -1.762017e+00 9.999779e-01 9.999750e-01 1.000017e+00 9.999693e-01 1.195229e+00 1 0 6.532895e-05 -7.282278e-05 -8.406371e-05 8.466609e-05 -1.124093e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.872598e+00 -1.737513e+00 9.999957e-01 9.999899e-01 1.000001e+00 9.999941e-01 1.195224e+00 1 0 6.722932e-05 -9.870554e-05 -8.808481e-05 9.706599e-05 1.062073e-05
-7.865485e+00 -1.486819e+00 9.999688e-01 9.999647e-01 1.000023e+00 9.999566e-01 1.195229e+00 1 0 1.197607e-04 -9.909575e-05 -1.536861e-04 1.026890e-04 -5.459039e-05
-8.122598e+00 -1.762017e+00 9.999763e-01 9.999762e-01 1.000020e+00 9.999671e-01 1.195232e+00 1 0 7.184002e-05 -1.472726e-04 -9.425626e-05 1.646604e-04 5.301633e-05
-8.115485e+00 -1.511322e+00 9.999329e-01 9.999384e-01 1.000058e+00 9.999065e-01 1.195242e+00 1 0 1.215950e-04 -1.503702e-04 -1.560649e-04 1.633783e-04 -5.694729e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.865485e+00 -1.486819e+00 9.999674e-01 9.999658e-01 1.000025e+00 9.999547e-01 1.195231e+00 1 0 1.260764e-04 -1.616274e-04 -1.604578e-04 1.699325e-04 1.169590e-06
-7.853934e+00 -1.235691e+00 9.999217e-01 9.999249e-01 1.000063e+00 9.998908e-01 1.195240e+00 1 0 1.735342e-04 -1.712967e-04 -2.111436e-04 1.636212e-04 -3.984692e-05
-8.115485e+00 -1.511322e+00 9.999315e-01 9.999395e-01 1.000060e+00 9.999046e-01 1.195244e+00 1 0 1.270155e-04 -2.034104e-04 -1.621921e-04 2.250318e-04 4.121833e-05
-8.103934e+00 -1.260192e+00 9.998725e-01 9.998874e-01 1.000110e+00 9.998220e-01 1.195257e+00 1 0 1.699299e-04 -2.221909e-04 -2.060948e-04 2.023268e-04 1.609608e-05
