VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.783543e-02 3.504695e+00 9.997811e-01 1.000112e+00 9.995528e-01 9.996938e-01 1.195080e+00 3 0 -2.422192e-04 -1.707397e-04 -3.176780e-05 -1.435707e-04 1.389719e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 3.528974e+00 9.998572e-01 1.000057e+00 9.995462e-01 9.997998e-01 1.195026e+00 3 0 -2.256721e-04 1.401157e-04 -5.328926e-05 -7.437944e-06 -1.934050e-04
2.743863e-01 3.776730e+00 9.998164e-01 1.000097e+00 9.995470e-01 9.997430e-01 1.195060e+00 3 0 1.686859e-04 1.798604e-04 -4.878471e-05 -5.816479e-06 -2.286451e-04
4.783543e-02 3.504695e+00 9.997793e-01 1.000113e+00 9.995495e-01 9.996913e-01 1.195080e+00 3 0 -2.415267e-04 -2.462574e-04 -3.630828e-05 -2.918530e-05 2.099491e-04
2.438630e-02 3.752394e+00 9.998360e-01 1.000055e+00 9.995482e-01 9.997709e-01 1.195030e+00 3 0 1.947600e-04 -2.253123e-04 -3.030051e-05 -6.440045e-06 1.950118e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 3.776730e+00 9.998132e-01 1.000098e+00 9.995458e-01 9.997385e-01 1.195060e+00 3 0 1.731448e-04 1.476896e-04 -6.419970e-05 1.604993e-04 -2.118893e-04
2.500000e-01 4.024386e+00 9.997857e-01 1.000130e+00 9.995888e-01 9.997003e-01 1.195111e+00 3 0 5.591304e-04 1.853297e-04 -2.176819e-05 1.699118e-04 -2.070979e-04
2.438630e-02 3.752394e+00 9.998338e-01 1.000055e+00 9.995468e-01 9.997679e-01 1.195030e+00 3 0 1.972575e-04 -2.363775e-04 -4.191200e-05 1.189709e-04 1.944655e-04
6.698724e-09 4.000000e+00 9.999051e-01 9.999894e-01 9.995808e-01 9.998679e-01 1.194994e+00 3 0 6.260969e-04 -2.155235e-04 -5.253214e-06 1.480786e-04 2.102703e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 4.024386e+00 9.997825e-01 1.000130e+00 9.995879e-01 9.996958e-01 1.195112e+00 3 0 5.715904e-04 1.451642e-04 -4.181516e-05 3.118516e-04 -1.869794e-04
2.256137e-01 4.272034e+00 9.997717e-01 1.000151e+00 9.996678e-01 9.996809e-01 1.195175e+00 3 0 8.686191e-04 1.711159e-04 3.082074e-05 3.275942e-04 -1.402952e-04
6.698724e-09 4.000000e+00 9.999031e-01 9.999878e-01 9.995815e-01 9.998651e-01 1.194994e+00 3 0 6.293089e-04 -1.590340e-04 -2.134739e-05 2.564122e-04 1.376866e-04
-2.438628e-02 4.247606e+00 9.999715e-01 9.999333e-01 9.996467e-01 9.999609e-01 1.194984e+00 3 0 9.633932e-04 -1.430876e-04 4.053000e-05 2.850086e-04 1.836175e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 4.272034e+00 9.997692e-01 1.000152e+00 9.996676e-01 9.996775e-01 1.195175e+00 3 0 8.847514e-04 1.390777e-04 1.141865e-05 4.143664e-04 -1.276591e-04
2.021646e-01 4.519764e+00 9.997725e-01 1.000165e+00 9.997709e-01 9.996822e-01 1.195244e+00 3 0 1.041518e-03 1.492019e-04 1.002300e-04 4.324649e-04 -4.897191e-05
-2.438628e-02 4.247606e+00 9.999701e-01 9.999303e-01 9.996492e-01 9.999590e-01 1.194984e+00 3 0 9.660298e-04 -3.262869e-05 2.380859e-05 3.524938e-04 5.643728e-05
-4.783542e-02 4.495305e+00 1.000019e+00 9.999018e-01 9.997347e-01 1.000027e+00 1.195006e+00 3 0 1.147901e-03 -2.421301e-05 1.006759e-04 3.747797e-04 1.248889e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 4.519764e+00 9.997713e-01 1.000164e+00 9.997716e-01 9.996805e-01 1.195245e+00 3 0 1.056868e-03 1.361630e-04 8.609055e-05 4.480929e-04 -5.007244e-05
1.805537e-01 4.767666e+00 9.997813e-01 1.000175e+00 9.998808e-01 9.996945e-01 1.195314e+00 3 0 1.060165e-03 1.322520e-04 1.748956e-04 4.641841e-04 4.264364e-05
-4.783542e-02 4.495305e+00 1.000018e+00 9.998981e-01 9.997384e-01 1.000027e+00 1.195007e+00 3 0 1.149118e-03 1.149656e-04 8.703641e-05 3.884769e-04 -2.792916e-05
-6.944627e-02 4.743186e+00 1.000035e+00 9.999056e-01 9.998295e-01 1.000050e+00 1.195062e+00 3 0 1.159875e-03 1.166882e-04 1.661421e-04 4.007652e-04 4.945383e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 4.767666e+00 9.997815e-01 1.000175e+00 9.998822e-01 9.996948e-01 1.195314e+00 3 0 1.071600e-03 1.401730e-04 1.687796e-04 4.101471e-04 2.860664e-05
1.616117e-01 5.015824e+00 9.997887e-01 1.000190e+00 9.999799e-01 9.997047e-01 1.195380e+00 3 0 9.411043e-04 1.282480e-04 2.432720e-04 4.209804e-04 1.150240e-04
-6.944627e-02 4.743186e+00 1.000036e+00 9.999019e-01 9.998337e-01 1.000050e+00 1.195062e+00 3 0 1.159437e-03 2.546412e-04 1.581967e-04 3.614884e-04 -9.644453e-05
-8.838834e-02 4.991329e+00 1.000014e+00 9.999476e-01 9.999159e-01 1.000020e+00 1.195144e+00 3 0 1.016671e-03 2.536783e-04 2.264910e-04 3.622700e-04 -2.718732e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616117e-01 5.015824e+00 9.997902e-01 1.000189e+00 9.999816e-01 9.997068e-01 1.195380e+00 3 0 9.473032e-04 1.500582e-04 2.458952e-04 3.133156e-04 9.583708e-05
1.460663e-01 5.264309e+00 9.997857e-01 1.000212e+00 1.000054e+00 9.997004e-01 1.195439e+00 3 0 7.237427e-04 1.381408e-04 2.942599e-04 3.161769e-04 1.561191e-04
-8.838834e-02 4.991329e+00 1.000015e+00 9.999448e-01 9.999197e-01 1.000022e+00 1.195144e+00 3 0 1.014950e-03 3.614483e-04 2.252902e-04 2.840632e-04 -1.361581e-04
-1.039337e-01 5.239808e+00 9.999566e-01 1.000023e+00 9.999819e-01 9.999392e-01 1.195242e+00 3 0 7.644576e-04 3.629925e-04 2.701262e-04 2.735675e-04 -9.286628e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 5.264309e+00 9.997880e-01 1.000212e+00 1.000056e+00 9.997036e-01 1.195439e+00 3 0 7.254101e-04 1.582636e-04 3.043719e-04 1.797489e-04 1.461084e-04
1.345151e-01 5.513181e+00 9.997673e-01 1.000244e+00 1.000095e+00 9.996743e-01 1.195486e+00 3 0 4.574751e-04 1.533596e-04 3.146869e-04 1.736087e-04 1.613272e-04
-1.039337e-01 5.239808e+00 9.999582e-01 1.000022e+00 9.999846e-01 9.999414e-01 1.195242e+00 3 0 7.626117e-04 4.168061e-04 2.748824e-04 1.797190e-04 -1.419237e-04
-1.154849e-01 5.488678e+00 9.998710e-01 1.000120e+00 1.000022e+00 9.998192e-01 1.195344e+00 3 0 4.646140e-04 4.240823e-04 2.835816e-04 1.612954e-04 -1.405008e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 5.513181e+00 9.997698e-01 1.000244e+00 1.000096e+00 9.996778e-01 1.195487e+00 3 0 4.572944e-04 1.499822e-04 3.290381e-04 3.751362e-05 1.790559e-04
1.274018e-01 5.762487e+00 9.997345e-01 1.000279e+00 1.000100e+00 9.996282e-01 1.195519e+00 3 0 1.891079e-04 1.548278e-04 2.890641e-04 2.357353e-05 1.342364e-04
-1.154849e-01 5.488678e+00 9.998724e-01 1.000120e+00 1.000023e+00 9.998211e-01 1.195345e+00 3 0 4.646483e-04 4.094608e-04 2.916579e-04 7.805377e-05 -1.178029e-04
-1.225982e-01 5.737983e+00 9.997710e-01 1.000220e+00 1.000038e+00 9.996790e-01 1.195438e+00 3 0 1.749949e-04 4.218465e-04 2.533172e-04 5.697356e-05 -1.685293e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 5.762487e+00 9.997366e-01 1.000280e+00 1.000101e+00 9.996311e-01 1.195519e+00 3 0 1.906075e-04 1.077441e-04 3.032322e-04 -8.572965e-05 1.954881e-04
1.250000e-01 6.012252e+00 9.996957e-01 1.000307e+00 1.000077e+00 9.995737e-01 1.195531e+00 3 0 -4.725882e-05 1.194790e-04 2.056040e-04 -1.028005e-04 8.612500e-05
-1.225982e-01 5.737983e+00 9.997718e-01 1.000222e+00 1.000037e+00 9.996801e-01 1.195438e+00 3 0 1.790850e-04 3.373780e-04 2.612870e-04 3.433585e-06 -7.609102e-05
-1.250000e-01 5.987748e+00 9.996734e-01 1.000305e+00 1.000036e+00 9.995424e-01 1.195511e+00 3 0 -6.761053e-05 3.511918e-04 1.716865e-04 -1.439046e-05 -1.795053e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 6.012252e+00 9.996969e-01 1.000309e+00 1.000076e+00 9.995754e-01 1.195531e+00 3 0 -4.174912e-05 2.149608e-05 2.155499e-04 -1.673139e-04 1.940538e-04
1.274018e-01 6.262487e+00 9.996642e-01 1.000313e+00 1.000034e+00 9.995296e-01 1.195517e+00 3 0 -2.340172e-04 3.314284e-05 6.569422e-05 -1.798701e-04 3.255138e-05
-1.250000e-01 5.987748e+00 9.996734e-01 1.000309e+00 1.000034e+00 9.995423e-01 1.195512e+00 3 0 -5.840661e-05 2.092985e-04 1.768848e-04 -3.275082e-05 -3.241361e-05
