VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
ZONE I=2, J=2, DATAPACKING=POINT
-7.634515e+00 2.535391e+00 9.997827e-01 1.000141e+00 9.998624e-01 9.996948e-01 1.195283e+00 0 0 -1.476943e-04 7.049974e-05 1.874300e-05 -2.074766e-04 -5.175674e-05
-7.646066e+00 2.784302e+00 9.998047e-01 1.000160e+00 9.998262e-01 9.997268e-01 1.195267e+00 0 0 -1.667580e-04 5.473676e-05 8.606574e-05 -1.520379e-04 3.132898e-05
-7.884515e+00 2.511322e+00 9.997719e-01 1.000176e+00 9.998624e-01 9.996794e-01 1.195307e+00 0 0 -1.510867e-04 9.292004e-05 3.390370e-05 -2.746248e-04 -5.901635e-05
-7.896066e+00 2.760192e+00 9.997811e-01 1.000200e+00 9.998093e-01 9.996937e-01 1.195287e+00 0 0 -1.708613e-04 7.651552e-05 8.731806e-05 -2.266348e-04 1.080254e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.646066e+00 2.784302e+00 9.997986e-01 1.000158e+00 9.998192e-01 9.997183e-01 1.195263e+00 0 0 -1.772843e-04 1.565517e-04 5.519313e-05 2.121416e-04 -1.013586e-04
-7.661612e+00 3.032832e+00 9.998972e-01 1.000199e+00 9.998843e-01 9.998573e-01 1.195302e+00 0 0 -1.892488e-04 1.279611e-04 1.173764e-04 2.905862e-04 -1.058470e-05
-7.896066e+00 2.760192e+00 9.997749e-01 1.000198e+00 9.998012e-01 9.996850e-01 1.195282e+00 0 0 -1.808701e-04 1.730305e-04 5.533883e-05 1.416695e-04 -1.176917e-04
-7.911612e+00 3.008671e+00 9.998691e-01 1.000244e+00 9.998499e-01 9.998181e-01 1.195315e+00 0 0 -1.940918e-04 1.453761e-04 1.069372e-04 2.211404e-04 -3.843885e-05
