VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 4.272034e+00 1.000040e+00 9.908541e-01 9.985087e-01 1.000054e+00 1.188872e+00 3 0 -5.459117e-03 2.195441e-02 1.648073e-03 3.790922e-03 -2.030634e-02
2.021646e-01 4.519764e+00 1.000008e+00 9.958714e-01 9.993580e-01 1.000010e+00 1.192378e+00 3 0 -3.425559e-03 1.993022e-02 4.628702e-04 3.472747e-03 -1.946735e-02
-2.438628e-02 4.247606e+00 1.000003e+00 9.916973e-01 9.980100e-01 1.000003e+00 1.189084e+00 3 0 -5.414174e-03 1.988618e-02 1.347036e-03 4.963162e-03 -1.853914e-02
-4.783542e-02 4.495305e+00 9.999814e-01 9.962478e-01 9.991598e-01 9.999737e-01 1.192490e+00 3 0 -3.324249e-03 1.805692e-02 2.657847e-04 4.667099e-03 -1.779114e-02
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 4.519764e+00 1.000018e+00 9.960547e-01 9.993752e-01 1.000025e+00 1.192495e+00 3 0 -2.399663e-03 1.008221e-02 6.445320e-04 1.662306e-03 -9.437676e-03
1.805537e-01 4.767666e+00 1.000003e+00 9.983238e-01 9.997469e-01 1.000004e+00 1.194075e+00 3 0 -1.466958e-03 8.967398e-03 1.529294e-04 1.507863e-03 -8.814468e-03
-4.783542e-02 4.495305e+00 1.000003e+00 9.964152e-01 9.991757e-01 1.000003e+00 1.192595e+00 3 0 -2.385446e-03 9.139573e-03 5.188440e-04 2.149137e-03 -8.620729e-03
-6.944627e-02 4.743186e+00 9.999922e-01 9.984746e-01 9.996727e-01 9.999891e-01 1.194124e+00 3 0 -1.423665e-03 8.130751e-03 7.241866e-05 2.006091e-03 -8.058332e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 4.767666e+00 1.000007e+00 9.984082e-01 9.997549e-01 1.000010e+00 1.194130e+00 3 0 -9.819950e-04 4.308538e-03 2.361483e-04 6.808480e-04 -4.072390e-03
1.616117e-01 5.015824e+00 1.000001e+00 9.993631e-01 9.999069e-01 1.000001e+00 1.194792e+00 3 0 -5.856413e-04 3.752733e-03 4.554227e-05 6.112758e-04 -3.707191e-03
-6.944627e-02 4.743186e+00 1.000001e+00 9.985517e-01 9.996800e-01 1.000002e+00 1.194172e+00 3 0 -9.796330e-04 3.910323e-03 1.869501e-04 8.699559e-04 -3.723373e-03
-8.838834e-02 4.991329e+00 9.999971e-01 9.994193e-01 9.998808e-01 9.999960e-01 1.194811e+00 3 0 -5.687458e-04 3.406722e-03 1.473913e-05 8.057949e-04 -3.391982e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616117e-01 5.015824e+00 1.000003e+00 9.993991e-01 9.999103e-01 1.000004e+00 1.194815e+00 3 0 -3.739164e-04 1.715556e-03 8.099361e-05 2.598433e-04 -1.634562e-03
1.460663e-01 5.264309e+00 1.000000e+00 9.997735e-01 9.999681e-01 1.000001e+00 1.195074e+00 3 0 -2.179763e-04 1.462664e-03 1.190669e-05 2.306385e-04 -1.450757e-03
-8.838834e-02 4.991329e+00 1.000001e+00 9.994521e-01 9.998839e-01 1.000001e+00 1.194832e+00 3 0 -3.747027e-04 1.559901e-03 6.297160e-05 3.285718e-04 -1.496930e-03
-1.039337e-01 5.239808e+00 9.999992e-01 9.997928e-01 9.999596e-01 9.999988e-01 1.195081e+00 3 0 -2.119483e-04 1.330387e-03 8.871357e-07 3.017361e-04 -1.329500e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 5.264309e+00 1.000001e+00 9.997877e-01 9.999695e-01 1.000001e+00 1.195083e+00 3 0 -1.323746e-04 6.370267e-04 2.591473e-05 9.211698e-05 -6.111120e-04
1.345151e-01 5.513181e+00 1.000000e+00 9.999246e-01 9.999899e-01 1.000000e+00 1.195177e+00 3 0 -7.563642e-05 5.314550e-04 2.543889e-06 8.070363e-05 -5.289111e-04
-1.039337e-01 5.239808e+00 1.000000e+00 9.998058e-01 9.999608e-01 1.000001e+00 1.195089e+00 3 0 -1.333690e-04 5.808695e-04 1.976029e-05 1.154477e-04 -5.611092e-04
-1.154849e-01 5.488678e+00 9.999999e-01 9.999307e-01 9.999873e-01 9.999998e-01 1.195180e+00 3 0 -7.367833e-05 4.848259e-04 -1.129589e-06 1.049922e-04 -4.859555e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 5.513181e+00 1.000000e+00 9.999298e-01 9.999904e-01 1.000001e+00 1.195181e+00 3 0 -4.352198e-05 2.206985e-04 7.663528e-06 3.023340e-05 -2.130349e-04
