VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -3.975614e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 3.239369e-08 4.963918e-07 4.510345e-07 -5.931510e-08 -4.535724e-08
2.256137e-01 -3.727966e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 6.596381e-08 5.162191e-07 5.226565e-07 -7.497415e-08 6.437378e-09
-6.698724e-09 -4.000000e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.000000e+00 1.195229e+00 2 0 2.766852e-08 4.663028e-07 4.638088e-07 -1.411778e-07 -2.493977e-09
-2.438630e-02 -3.752394e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999999e-01 1.195229e+00 2 0 7.014086e-08 4.688312e-07 5.228295e-07 -1.328065e-07 5.399829e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 -3.727966e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 7.079011e-08 4.915315e-07 4.955859e-07 1.920057e-07 4.054383e-09
2.021646e-01 -3.480236e+00 9.999997e-01 1.000000e+00 1.000001e+00 9.999995e-01 1.195229e+00 2 0 7.652340e-08 5.427648e-07 5.232605e-07 1.520470e-07 -1.950430e-08
-2.438630e-02 -3.752394e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999999e-01 1.195229e+00 2 0 7.104124e-08 4.795565e-07 4.911761e-07 1.723213e-07 1.161954e-08
-4.783543e-02 -3.504695e+00 9.999997e-01 1.000000e+00 1.000000e+00 9.999996e-01 1.195229e+00 2 0 9.619370e-08 4.958235e-07 4.938820e-07 1.696423e-07 -1.941560e-09
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 -3.480236e+00 9.999997e-01 1.000000e+00 1.000001e+00 9.999995e-01 1.195229e+00 2 0 1.138446e-07 3.122444e-07 5.146301e-07 1.011392e-07 2.023857e-07
1.805537e-01 -3.232334e+00 9.999996e-01 1.000000e+00 1.000001e+00 9.999994e-01 1.195229e+00 2 0 -3.611024e-08 4.300964e-07 3.526913e-07 -4.420239e-08 -7.740508e-08
-4.783543e-02 -3.504695e+00 9.999997e-01 1.000000e+00 1.000000e+00 9.999996e-01 1.195229e+00 2 0 1.171848e-07 4.288051e-07 4.667527e-07 2.995986e-07 3.794765e-08
-6.944628e-02 -3.256814e+00 9.999996e-01 1.000000e+00 1.000000e+00 9.999994e-01 1.195229e+00 2 0 7.152155e-10 4.922707e-07 2.686872e-07 2.218311e-07 -2.235835e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 -3.232334e+00 9.999996e-01 1.000000e+00 1.000001e+00 9.999994e-01 1.195229e+00 2 0 6.446400e-08 -2.560831e-07 3.900102e-07 -7.993174e-07 6.460933e-07
1.616116e-01 -2.984176e+00 9.999997e-01 1.000000e+00 1.000000e+00 9.999996e-01 1.195229e+00 2 0 -4.168776e-07 -5.877151e-08 -2.426248e-07 -1.098783e-06 -1.838533e-07
