VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -4.471026e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 5.474524e-07 2.644694e-07 -4.325327e-07 -1.959350e-06 -6.970021e-07
6.944627e-02 -4.743186e+00 1.000001e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 -8.225476e-08 -1.976515e-07 6.664565e-07 -1.282043e-06 8.641080e-07
4.783542e-02 -4.495305e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 6.916017e-07 -4.810018e-07 -4.266665e-07 -7.689596e-07 5.433535e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.978354e-01 -4.471026e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.195229e+00 2 0 6.818098e-07 -5.308853e-07 -7.160881e-07 -2.852196e-08 -1.852027e-07
2.743863e-01 -4.223270e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 7.972250e-07 -7.975077e-07 -7.129813e-07 4.921119e-07 8.452644e-08
4.783542e-02 -4.495305e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000001e+00 1.195229e+00 2 0 7.666196e-07 -6.713562e-07 -6.136931e-07 1.724857e-07 5.766317e-08
2.438628e-02 -4.247606e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 8.248822e-07 -8.183954e-07 -6.549052e-07 4.689713e-07 1.634902e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.743863e-01 -4.223270e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 7.847441e-07 -5.213301e-07 -7.526918e-07 6.858360e-07 -2.313616e-07
2.500000e-01 -3.975614e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 5.645542e-07 -5.911085e-07 -2.261650e-07 8.695646e-07 3.649436e-07
2.438628e-02 -4.247606e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 7.886832e-07 -3.192076e-07 -6.567661e-07 2.434725e-07 -3.375585e-07
-6.698724e-09 -4.000000e+00 1.000001e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 5.361260e-07 -3.240352e-07 -1.557972e-07 2.955449e-07 1.682380e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -3.975614e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 4.972328e-07 2.481602e-09 -1.614270e-07 4.102215e-07 -1.639086e-07
2.256137e-01 -3.727966e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000000e+00 1.195229e+00 2 0 2.891656e-07 5.078506e-08 3.319210e-07 3.668122e-07 2.811359e-07
-6.698724e-09 -4.000000e+00 1.000001e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 4.732203e-07 2.103565e-07 -9.990847e-08 -9.086656e-08 -3.102650e-07
-2.438630e-02 -3.752394e+00 1.000000e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.586202e-07 2.599588e-07 3.805456e-07 -1.463743e-07 1.205869e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.256137e-01 -3.727966e+00 1.000000e+00 9.999999e-01 1.000001e+00 1.000000e+00 1.195229e+00 2 0 2.403194e-07 4.449080e-07 3.872801e-07 2.798578e-08 -5.762789e-08
2.021646e-01 -3.480236e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.322568e-07 5.368243e-07 6.429472e-07 -9.157873e-08 1.061228e-07
-2.438630e-02 -3.752394e+00 1.000000e+00 9.999998e-01 1.000001e+00 1.000001e+00 1.195229e+00 2 0 2.184668e-07 5.554096e-07 4.122579e-07 -2.521841e-07 -1.431517e-07
-4.783543e-02 -3.504695e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.245248e-07 6.081925e-07 6.479642e-07 -3.204090e-07 3.977175e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.021646e-01 -3.480236e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.354790e-07 5.377263e-07 6.655269e-07 -2.746299e-07 1.278006e-07
1.805537e-01 -3.232334e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 1.191848e-08 6.624988e-07 6.192599e-07 -4.400332e-07 -4.323898e-08
-4.783543e-02 -3.504695e+00 1.000000e+00 1.000000e+00 1.000001e+00 1.000000e+00 1.195229e+00 2 0 1.237673e-07 6.412777e-07 6.425594e-07 -2.244966e-07 1.281677e-09
-6.944628e-02 -3.256814e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 3.433479e-08 7.064643e-07 5.634998e-07 -3.079889e-07 -1.429644e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.805537e-01 -3.232334e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 8.554223e-08 1.525234e-07 6.405240e-07 -8.934010e-07 4.880006e-07
1.616116e-01 -2.984176e+00 9.999998e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 -2.564514e-07 3.242904e-07 1.591601e-07 -1.144424e-06 -1.651303e-07
-6.944628e-02 -3.256814e+00 9.999999e-01 1.000000e+00 1.000001e+00 9.999998e-01 1.195229e+00 2 0 8.502238e-08 4.352254e-07 5.443597e-07 -3.507314e-07 1.091343e-07
-8.838835e-02 -3.008671e+00 9.999997e-01 1.000000e+00 1.000001e+00 9.999996e-01 1.195229e+00 2 0 -2.127355e-07 5.385814e-07 1.681656e-08 -5.126628e-07 -5.217649e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.616116e-01 -2.984176e+00 9.999998e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 -9.226696e-08 -8.642662e-07 2.274490e-07 -2.377876e-06 1.091715e-06
1.460663e-01 -2.735691e+00 1.000000e+00 1.000000e+00 9.999999e-01 1.000000e+00 1.195229e+00 2 0 -8.843372e-07 -6.494067e-07 -9.284831e-07 -2.730016e-06 -2.790764e-07
-8.838835e-02 -3.008671e+00 9.999998e-01 1.000000e+00 1.000001e+00 9.999997e-01 1.195229e+00 2 0 -9.369524e-08 -1.867221e-07 2.039580e-08 -1.099589e-06 2.071179e-07
-1.039337e-01 -2.760192e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 -8.311644e-07 -3.312806e-08 -1.177996e-06 -1.372146e-06 -1.144868e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.460663e-01 -2.735691e+00 1.000000e+00 1.000000e+00 9.999998e-01 1.000000e+00 1.195228e+00 2 0 -6.266554e-07 -2.576933e-06 -7.856093e-07 -5.014756e-06 1.791323e-06
1.345151e-01 -2.486819e+00 1.000001e+00 9.999994e-01 9.999986e-01 1.000002e+00 1.195227e+00 2 0 -1.965056e-06 -2.534215e-06 -2.885841e-06 -5.330270e-06 -3.516256e-07
-1.039337e-01 -2.760192e+00 9.999999e-01 1.000000e+00 1.000000e+00 9.999998e-01 1.195229e+00 2 0 -6.256992e-07 -1.411502e-06 -1.114658e-06 -2.823760e-06 2.968446e-07
-1.154849e-01 -2.511322e+00 1.000000e+00 9.999999e-01 9.999995e-01 1.000001e+00 1.195228e+00 2 0 -1.985071e-06 -1.224756e-06 -3.077503e-06 -3.172470e-06 -1.852748e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -2.486819e+00 1.000001e+00 9.999995e-01 9.999986e-01 1.000002e+00 1.195227e+00 2 0 -1.788445e-06 -4.210290e-06 -2.705471e-06 -7.987900e-06 1.504819e-06
1.274018e-01 -2.237513e+00 1.000003e+00 9.999983e-01 9.999967e-01 1.000005e+00 1.195225e+00 2 0 -2.781389e-06 -5.065576e-06 -5.297798e-06 -7.673165e-06 -2.322213e-07
-1.154849e-01 -2.511322e+00 1.000001e+00 1.000000e+00 9.999995e-01 1.000001e+00 1.195228e+00 2 0 -1.762038e-06 -3.225164e-06 -2.898681e-06 -5.606174e-06 3.264829e-07
-1.225982e-01 -2.262017e+00 1.000002e+00 9.999991e-01 9.999981e-01 1.000003e+00 1.195227e+00 2 0 -3.227960e-06 -3.246706e-06 -4.775910e-06 -5.843394e-06 -1.529205e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -2.237513e+00 1.000003e+00 9.999983e-01 9.999967e-01 1.000005e+00 1.195225e+00 2 0 -3.298499e-06 -2.716764e-06 -5.210574e-06 -7.697249e-06 -2.493810e-06
1.250000e-01 -1.987748e+00 1.000005e+00 9.999974e-01 9.999950e-01 1.000007e+00 1.195223e+00 2 0 -6.150415e-07 -5.572156e-06 -5.321535e-06 -5.698830e-06 2.506210e-07
-1.225982e-01 -2.262017e+00 1.000002e+00 9.999992e-01 9.999981e-01 1.000003e+00 1.195227e+00 2 0 -3.353202e-06 -4.547624e-06 -4.373690e-06 -8.593648e-06 1.739348e-07
-1.250000e-01 -2.012252e+00 1.000004e+00 9.999979e-01 9.999960e-01 1.000005e+00 1.195224e+00 2 0 -2.074747e-06 -5.542458e-06 -2.916294e-06 -8.173735e-06 2.626164e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 -1.987748e+00 1.000005e+00 9.999971e-01 9.999951e-01 1.000007e+00 1.195223e+00 2 0 -2.814710e-06 7.453143e-06 -5.535577e-06 2.508542e-06 -1.298872e-05
1.274018e-01 -1.737513e+00 1.000004e+00 9.999989e-01 9.999959e-01 1.000005e+00 1.195225e+00 2 0 9.388085e-06 2.825124e-06 3.374031e-06 6.298674e-06 5.489069e-07
-1.250000e-01 -2.012252e+00 1.000004e+00 9.999979e-01 9.999960e-01 1.000005e+00 1.195224e+00 2 0 -3.304085e-06 -2.087127e-06 -2.229799e-06 -8.560237e-06 -1.426715e-07
-1.225982e-01 -1.762017e+00 1.000005e+00 9.999971e-01 9.999940e-01 1.000008e+00 1.195222e+00 2 0 6.911432e-06 -5.087236e-06 8.266445e-06 -6.793570e-06 1.335368e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 -1.737513e+00 1.000003e+00 9.999982e-01 9.999963e-01 1.000005e+00 1.195225e+00 2 0 5.360794e-06 2.935569e-05 2.796926e-06 2.529101e-05 -2.655876e-05
1.345151e-01 -1.486819e+00 9.999958e-01 1.000006e+00 1.000002e+00 9.999941e-01 1.195235e+00 2 0 3.021295e-05 2.729038e-05 2.569189e-05 2.707622e-05 -1.598489e-06
-1.225982e-01 -1.762017e+00 1.000006e+00 9.999969e-01 9.999942e-01 1.000008e+00 1.195222e+00 2 0 4.111530e-06 8.562279e-06 8.891928e-06 -1.567481e-07 3.296484e-07
-1.154849e-01 -1.511322e+00 1.000004e+00 9.999990e-01 9.999943e-01 1.000006e+00 1.195224e+00 2 0 2.858393e-05 4.418991e-06 3.087856e-05 2.396478e-06 2.645956e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.345151e-01 -1.486819e+00 9.999955e-01 1.000005e+00 1.000003e+00 9.999937e-01 1.195235e+00 2 0 2.692418e-05 5.412616e-05 2.513311e-05 4.423647e-05 -2.899305e-05
1.460663e-01 -1.235691e+00 9.999812e-01 1.000021e+00 1.000013e+00 9.999736e-01 1.195254e+00 2 0 5.601448e-05 6.009775e-05 5.250496e-05 3.784678e-05 -7.592783e-06
-1.154849e-01 -1.511322e+00 1.000004e+00 9.999985e-01 9.999947e-01 1.000006e+00 1.195224e+00 2 0 2.561528e-05 2.680499e-05 3.049232e-05 1.657182e-05 3.687332e-06
-1.039337e-01 -1.260192e+00 9.999974e-01 1.000006e+00 9.999989e-01 9.999964e-01 1.195232e+00 2 0 5.811843e-05 2.615305e-05 5.299285e-05 1.641103e-05 2.683981e-05
