VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.725982e-01 -5.713940e+00 9.998794e-01 1.000109e+00 9.999016e-01 9.998314e-01 1.195263e+00 2 0 1.455209e-04 -1.434765e-04 -1.482810e-04 1.039320e-04 -4.804454e-06
3.654849e-01 -5.464609e+00 9.999205e-01 1.000069e+00 9.999322e-01 9.998892e-01 1.195248e+00 2 0 1.307670e-04 -1.632311e-04 -1.405413e-04 1.303669e-04 2.268980e-05
1.225982e-01 -5.737983e+00 9.999175e-01 1.000075e+00 9.999348e-01 9.998849e-01 1.195254e+00 2 0 1.551674e-04 -1.283061e-04 -1.406815e-04 1.118465e-04 -1.237537e-05
1.154849e-01 -5.488678e+00 9.999553e-01 1.000041e+00 9.999646e-01 9.999377e-01 1.195243e+00 2 0 1.315284e-04 -1.382847e-04 -1.382492e-04 1.246474e-04 3.544900e-08
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.654849e-01 -5.464609e+00 9.999209e-01 1.000069e+00 9.999329e-01 9.998897e-01 1.195248e+00 2 0 1.293939e-04 -1.360859e-04 -1.421732e-04 1.280830e-04 -6.087330e-06
3.539337e-01 -5.215698e+00 9.999616e-01 1.000034e+00 9.999666e-01 9.999466e-01 1.195238e+00 2 0 8.690976e-05 -1.435686e-04 -9.691936e-05 1.405417e-04 4.664922e-05
1.154849e-01 -5.488678e+00 9.999561e-01 1.000040e+00 9.999658e-01 9.999389e-01 1.195243e+00 2 0 1.281730e-04 -9.472838e-05 -1.370223e-04 9.010279e-05 -4.229390e-05
1.039337e-01 -5.239808e+00 9.999842e-01 1.000016e+00 9.999886e-01 9.999780e-01 1.195235e+00 2 0 8.110506e-05 -9.621751e-05 -9.493658e-05 9.233815e-05 1.280927e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.539337e-01 -5.215698e+00 9.999628e-01 1.000032e+00 9.999682e-01 9.999483e-01 1.195238e+00 2 0 8.040270e-05 -8.726564e-05 -9.091412e-05 9.283606e-05 -3.648482e-06
3.383883e-01 -4.967169e+00 9.999890e-01 1.000011e+00 9.999908e-01 9.999847e-01 1.195232e+00 2 0 4.123476e-05 -8.556316e-05 -4.622447e-05 9.243939e-05 3.933869e-05
1.039337e-01 -5.239808e+00 9.999852e-01 1.000015e+00 9.999899e-01 9.999795e-01 1.195235e+00 2 0 7.523640e-05 -4.903059e-05 -8.946173e-05 4.720066e-05 -4.043114e-05
8.838834e-02 -4.991329e+00 9.999992e-01 1.000003e+00 1.000001e+00 9.999990e-01 1.195232e+00 2 0 3.551704e-05 -4.622392e-05 -4.504719e-05 4.375649e-05 1.176729e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.383883e-01 -4.967169e+00 9.999900e-01 1.000010e+00 9.999921e-01 9.999862e-01 1.195232e+00 2 0 3.507440e-05 -3.853964e-05 -3.929461e-05 4.354394e-05 -7.549772e-07
3.194463e-01 -4.718966e+00 1.000001e+00 1.000001e+00 1.000002e+00 1.000001e+00 1.195230e+00 2 0 1.240255e-05 -3.377138e-05 -1.279852e-05 3.758196e-05 2.097286e-05
