VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 5.062785e+00 9.999757e-01 9.995400e-01 9.999238e-01 9.999663e-01 1.194914e+00 3 0 -1.669768e-04 1.122763e-03 6.549048e-05 2.178275e-04 -1.057273e-03
2.690301e-01 5.552432e+00 9.999964e-01 9.999426e-01 9.999873e-01 9.999949e-01 1.195188e+00 3 0 -1.201921e-04 6.807635e-04 -1.766631e-05 9.646626e-05 -6.984298e-04
-1.767767e-01 4.965401e+00 9.999873e-01 9.995085e-01 9.998744e-01 9.999822e-01 1.194863e+00 3 0 -1.855180e-04 1.198495e-03 3.273951e-05 3.017730e-04 -1.165756e-03
-2.309699e-01 5.454897e+00 9.999987e-01 9.999362e-01 9.999865e-01 9.999983e-01 1.195183e+00 3 0 -1.295711e-04 7.223701e-04 -3.694481e-05 1.981613e-04 -7.593149e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 5.552432e+00 9.999960e-01 9.999528e-01 9.999903e-01 9.999944e-01 1.195196e+00 3 0 -1.517770e-05 1.259090e-04 -2.980077e-06 2.751887e-05 -1.288891e-04
2.500000e-01 6.048773e+00 9.999990e-01 9.999960e-01 9.999983e-01 9.999986e-01 1.195225e+00 3 0 -1.243941e-05 6.921024e-05 -4.452313e-06 1.098600e-05 -7.366256e-05
-2.309699e-01 5.454897e+00 9.999997e-01 9.999478e-01 9.999890e-01 9.999996e-01 1.195191e+00 3 0 -1.744439e-05 1.394317e-04 -3.173749e-06 3.070313e-05 -1.426055e-04
-2.500000e-01 5.951227e+00 1.000000e+00 9.999952e-01 9.999995e-01 1.000000e+00 1.195225e+00 3 0 -1.257536e-05 7.543289e-05 -5.901109e-06 1.620434e-05 -8.133400e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 6.048773e+00 9.999990e-01 9.999968e-01 9.999985e-01 9.999986e-01 1.195226e+00 3 0 -7.845455e-07 9.277290e-06 -2.731796e-06 3.629907e-06 -1.200909e-05
2.690301e-01 6.552432e+00 9.999999e-01 9.999998e-01 9.999998e-01 9.999998e-01 1.195228e+00 3 0 -6.207898e-07 4.564318e-06 -8.845584e-07 2.267251e-06 -5.448877e-06
-2.500000e-01 5.951227e+00 1.000000e+00 9.999961e-01 9.999995e-01 1.000000e+00 1.195226e+00 3 0 -3.348073e-07 1.075353e-05 -2.393941e-06 1.243169e-06 -1.314747e-05
-2.309699e-01 6.454897e+00 1.000000e+00 9.999997e-01 1.000000e+00 1.000000e+00 1.195228e+00 3 0 -9.227467e-07 5.683273e-06 -4.424242e-07 8.299711e-07 -6.125697e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
