VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-8.230970e+00 -1.545102e+00 9.994983e-01 9.995271e-01 1.000447e+00 9.992999e-01 1.195332e+00 1 0 6.062563e-04 -7.788539e-04 -8.250621e-04 8.594442e-04 -4.620823e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.730970e+00 -1.447568e+00 9.997774e-01 9.997609e-01 1.000174e+00 9.996899e-01 1.195242e+00 1 0 6.429493e-04 -7.540105e-04 -8.532382e-04 9.039753e-04 -9.922765e-05
-7.676777e+00 -9.372147e-01 9.993939e-01 9.993859e-01 1.000457e+00 9.991536e-01 1.195279e+00 1 0 7.833186e-04 -8.659719e-04 -8.121485e-04 4.223506e-04 5.382341e-05
-8.230970e+00 -1.545102e+00 9.994604e-01 9.995295e-01 1.000496e+00 9.992467e-01 1.195372e+00 1 0 6.360775e-04 -8.781265e-04 -8.572807e-04 1.048172e-03 2.084583e-05
-8.176777e+00 -1.034599e+00 9.990450e-01 9.990939e-01 1.000806e+00 9.986646e-01 1.195397e+00 1 0 7.402489e-04 -1.002507e-03 -7.221657e-04 2.721947e-04 2.803408e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.676777e+00 -9.372147e-01 9.994171e-01 9.993779e-01 1.000427e+00 9.991859e-01 1.195250e+00 1 0 7.047066e-04 -3.841615e-04 -6.289239e-04 1.949614e-05 -2.447624e-04
-7.595671e+00 -4.219378e-01 9.993115e-01 9.992336e-01 1.000414e+00 9.990368e-01 1.195183e+00 1 0 2.577452e-04 -3.807158e-04 7.971739e-05 -1.049507e-04 4.604332e-04
-8.176777e+00 -1.034599e+00 9.991054e-01 9.990771e-01 1.000726e+00 9.987490e-01 1.195324e+00 1 0 5.635858e-04 2.448131e-06 -4.140045e-04 -7.958834e-04 -4.164526e-04
-8.095671e+00 -5.187672e-01 9.993251e-01 9.991303e-01 1.000393e+00 9.990540e-01 1.195106e+00 1 0 1.438354e-04 7.126074e-06 2.362620e-04 -7.174262e-04 2.291359e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.595671e+00 -4.219378e-01 9.993280e-01 9.992141e-01 1.000381e+00 9.990597e-01 1.195147e+00 1 0 1.212540e-04 3.876922e-04 2.261993e-04 -6.568571e-04 -1.614929e-04
-7.500000e+00 9.567088e-02 9.995789e-01 9.994479e-01 1.000089e+00 9.994087e-01 1.195054e+00 1 0 -5.758674e-04 5.283279e-04 1.116144e-03 -8.585448e-04 5.878162e-04
-8.095671e+00 -5.187672e-01 9.993556e-01 9.991030e-01 1.000344e+00 9.990966e-01 1.195053e+00 1 0 -2.006366e-05 9.366007e-04 4.228397e-04 -1.551240e-03 -5.137610e-04
-8.000000e+00 2.679490e-08 9.999945e-01 9.996347e-01 9.996635e-01 9.999892e-01 1.194812e+00 1 0 -5.858237e-04 1.159615e-03 1.126428e-03 -1.481544e-03 -3.318754e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.000000e+00 -7.823223e+00 1.000809e+00 1.000721e+00 1.000657e+00 1.001126e+00 1.195863e+00 1 0 -1.361354e-03 -1.000030e-03 -1.330308e-03 -6.116691e-04 -3.302781e-04
-6.904329e+00 -7.310452e+00 1.000118e+00 1.000059e+00 1.000187e+00 1.000161e+00 1.195350e+00 1 0 -1.125040e-03 -1.208555e-03 -1.214238e-03 -8.713063e-04 -5.682463e-06
-7.500000e+00 -7.904329e+00 1.001442e+00 1.001316e+00 1.001281e+00 1.002018e+00 1.196436e+00 1 0 -5.503325e-04 -1.010764e-03 -9.907890e-04 -2.775042e-04 1.997532e-05
-7.404329e+00 -7.387260e+00 1.000843e+00 1.000616e+00 1.000810e+00 1.001174e+00 1.195883e+00 1 0 -8.472706e-04 -1.394689e-03 -1.078744e-03 -1.024608e-03 3.159453e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.904329e+00 -7.310452e+00 1.000094e+00 1.000022e+00 1.000135e+00 1.000127e+00 1.195303e+00 1 0 -1.264951e-03 -4.003299e-04 -1.320777e-03 -3.940495e-04 -9.204474e-04
-6.823223e+00 -6.800459e+00 9.998096e-01 9.997708e-01 9.999091e-01 9.997325e-01 1.195083e+00 1 0 -3.049178e-04 -4.406478e-04 -4.327044e-04 -3.598484e-04 7.943362e-06
-7.404329e+00 -7.387260e+00 1.000843e+00 1.000590e+00 1.000780e+00 1.001173e+00 1.195850e+00 1 0 -9.364177e-04 -1.124295e-03 -1.151838e-03 -1.041705e-03 -2.754316e-05
-7.323223e+00 -6.873285e+00 1.000085e+00 9.999512e-01 1.000152e+00 1.000114e+00 1.195273e+00 1 0 -3.111749e-04 -1.284153e-03 -3.886657e-04 -1.331900e-03 8.954870e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.823223e+00 -6.800459e+00 9.997947e-01 9.997537e-01 9.998868e-01 9.997119e-01 1.195063e+00 1 0 -3.285556e-04 6.292785e-05 -3.950550e-04 -2.372347e-05 -4.579828e-04
-6.769030e+00 -6.294232e+00 9.998384e-01 9.998030e-01 9.999010e-01 9.997747e-01 1.195090e+00 1 0 1.384180e-04 1.204118e-04 1.302067e-04 6.968015e-05 9.794884e-06
-7.323223e+00 -6.873285e+00 1.000054e+00 9.999151e-01 1.000093e+00 1.000071e+00 1.195223e+00 1 0 -4.101383e-04 -4.107776e-04 -4.317714e-04 -6.246537e-04 -2.099387e-05
-7.269030e+00 -6.364230e+00 9.997833e-01 9.997443e-01 9.998477e-01 9.996960e-01 1.195037e+00 1 0 8.928087e-05 -3.201893e-04 1.092059e-04 -4.608970e-04 4.293951e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.769030e+00 -6.294232e+00 9.998387e-01 9.998040e-01 9.999038e-01 9.997752e-01 1.195092e+00 1 0 1.571237e-04 1.779157e-04 1.763450e-04 1.027234e-04 -1.570732e-06
-6.750000e+00 -5.792133e+00 9.999276e-01 9.998983e-01 9.999588e-01 9.998994e-01 1.195160e+00 1 0 1.561722e-04 1.960477e-04 2.012899e-04 1.190598e-04 5.242209e-06
-7.269030e+00 -6.364230e+00 9.997679e-01 9.997325e-01 9.998265e-01 9.996747e-01 1.195021e+00 1 0 6.164610e-05 1.061172e-04 1.020671e-04 -3.340833e-05 -4.050026e-06
-7.250000e+00 -5.861107e+00 9.998250e-01 9.998134e-01 9.998580e-01 9.997560e-01 1.195073e+00 1 0 1.429089e-04 1.897875e-04 1.837244e-04 1.134248e-04 -6.063064e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.750000e+00 -5.792133e+00 9.999308e-01 9.999024e-01 9.999646e-01 9.999038e-01 1.195165e+00 1 0 1.684022e-04 1.126204e-04 2.110136e-04 5.784721e-05 9.839321e-05
-6.769030e+00 -5.294232e+00 9.999642e-01 9.999485e-01 9.999791e-01 9.999501e-01 1.195194e+00 1 0 7.174343e-05 9.240594e-05 9.800120e-05 2.646405e-05 5.595269e-06
-7.250000e+00 -5.861107e+00 9.998259e-01 9.998162e-01 9.998620e-01 9.997573e-01 1.195077e+00 1 0 1.489862e-04 1.904332e-04 1.886128e-04 1.446414e-04 -1.820412e-06
-7.269030e+00 -5.364230e+00 9.999149e-01 9.999061e-01 9.999280e-01 9.998816e-01 1.195149e+00 1 0 6.672750e-05 1.924365e-04 9.561329e-05 1.517424e-04 -9.682318e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.769030e+00 -5.294232e+00 9.999648e-01 9.999498e-01 9.999804e-01 9.999509e-01 1.195195e+00 1 0 7.313227e-05 4.660964e-05 9.066813e-05 6.162129e-06 4.405849e-05
-6.823223e+00 -4.800459e+00 9.999683e-01 9.999660e-01 9.999750e-01 9.999557e-01 1.195201e+00 1 0 2.918423e-05 3.262343e-05 3.840884e-05 -1.283440e-05 5.785404e-06
-7.269030e+00 -5.364230e+00 9.999183e-01 9.999097e-01 9.999338e-01 9.998862e-01 1.195154e+00 1 0 7.460035e-05 1.014890e-04 9.795448e-05 7.730483e-05 -3.534522e-06
-7.323223e+00 -4.873285e+00 9.999501e-01 9.999491e-01 9.999558e-01 9.999304e-01 1.195184e+00 1 0 2.328798e-05 7.894450e-05 3.821600e-05 4.120000e-05 -4.072850e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.823223e+00 -4.800459e+00 9.999673e-01 9.999658e-01 9.999741e-01 9.999543e-01 1.195200e+00 1 0 2.780994e-05 2.833171e-05 3.248766e-05 4.715955e-06 4.155945e-06
