VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-8.230970e+00 -2.545102e+00 9.999683e-01 9.999818e-01 1.000035e+00 9.999557e-01 1.195246e+00 1 0 1.565445e-05 -3.894395e-05 -3.953009e-05 5.083201e-05 -5.861456e-07
-8.250000e+00 -2.048773e+00 9.999549e-01 9.999500e-01 1.000037e+00 9.999370e-01 1.195231e+00 1 0 5.525476e-05 -9.166265e-05 -1.721573e-05 -6.813698e-05 7.444692e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.750000e+00 -1.951227e+00 9.999735e-01 9.999656e-01 1.000017e+00 9.999630e-01 1.195225e+00 1 0 2.955092e-05 7.670063e-05 1.943326e-05 -1.420437e-04 -5.726737e-05
-7.730970e+00 -1.447568e+00 1.000040e+00 1.000010e+00 9.999444e-01 1.000056e+00 1.195192e+00 1 0 -2.252312e-05 8.965626e-05 1.489756e-04 -1.842718e-04 5.931934e-05
-8.250000e+00 -2.048773e+00 9.999645e-01 9.999443e-01 1.000022e+00 9.999503e-01 1.195217e+00 1 0 2.561870e-05 8.880290e-05 5.235449e-05 -3.193642e-04 -3.644841e-05
-8.230970e+00 -1.545102e+00 1.000076e+00 1.000008e+00 9.998939e-01 1.000107e+00 1.195152e+00 1 0 -1.837577e-05 1.672162e-04 1.324517e-04 -2.203199e-04 -3.476453e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.730970e+00 -1.447568e+00 1.000050e+00 1.000008e+00 9.999336e-01 1.000069e+00 1.195182e+00 1 0 -4.611880e-05 1.187088e-04 1.373340e-04 -2.663496e-04 1.862529e-05
-7.676777e+00 -9.372147e-01 1.000132e+00 1.000072e+00 9.998413e-01 1.000185e+00 1.195145e+00 1 0 1.717047e-04 1.222319e-04 -2.303918e-05 -1.002742e-04 -1.452711e-04
-8.230970e+00 -1.545102e+00 1.000080e+00 1.000015e+00 9.998961e-01 1.000113e+00 1.195156e+00 1 0 9.074552e-06 -5.424185e-05 8.105271e-05 -1.090271e-04 1.352946e-04
-8.176777e+00 -1.034599e+00 1.000066e+00 9.999759e-01 9.998647e-01 1.000094e+00 1.195117e+00 1 0 2.517915e-04 -1.095046e-04 -9.428595e-05 3.954908e-05 1.521870e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.676777e+00 -9.372147e-01 1.000122e+00 1.000076e+00 9.998558e-01 1.000171e+00 1.195158e+00 1 0 2.105398e-04 -5.411451e-05 -7.867682e-05 6.975231e-05 -2.456231e-05
-7.595671e+00 -4.219378e-01 1.000100e+00 1.000059e+00 9.998591e-01 1.000141e+00 1.195155e+00 1 0 4.673097e-04 -1.071708e-04 -2.269734e-04 2.470555e-05 -1.198026e-04
-8.176777e+00 -1.034599e+00 1.000048e+00 9.999780e-01 9.998891e-01 1.000068e+00 1.195137e+00 1 0 2.874954e-04 -2.857972e-04 -1.520919e-04 2.623999e-04 1.337053e-04
-8.095671e+00 -5.187672e-01 9.999083e-01 9.998512e-01 9.999613e-01 9.998732e-01 1.195137e+00 1 0 4.996608e-04 -3.227468e-04 -2.472121e-04 1.233886e-04 7.553470e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.595671e+00 -4.219378e-01 1.000099e+00 1.000060e+00 9.998619e-01 1.000139e+00 1.195158e+00 1 0 4.842678e-04 -2.010873e-04 -2.330927e-04 1.114553e-04 -3.200538e-05
-7.500000e+00 9.567088e-02 1.000029e+00 1.000006e+00 9.999020e-01 1.000042e+00 1.195166e+00 1 0 7.004564e-04 -2.161800e-04 -3.802416e-04 1.820416e-04 -1.640615e-04
-8.095671e+00 -5.187672e-01 9.999116e-01 9.998527e-01 9.999591e-01 9.998778e-01 1.195136e+00 1 0 5.085873e-04 -3.658548e-04 -2.537092e-04 2.079685e-04 1.121456e-04
-8.000000e+00 2.679490e-08 9.997420e-01 9.997073e-01 1.000055e+00 9.996408e-01 1.195147e+00 1 0 6.567109e-04 -4.085566e-04 -3.512113e-04 2.828252e-04 5.734536e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-7.000000e+00 -7.823223e+00 1.000037e+00 1.000008e+00 1.000060e+00 1.000051e+00 1.195261e+00 1 0 1.219074e-04 -3.857358e-05 8.744136e-06 -7.404357e-05 4.731772e-05
-6.904329e+00 -7.310452e+00 1.000010e+00 9.999979e-01 1.000021e+00 1.000013e+00 1.195237e+00 1 0 4.108565e-05 -3.231420e-05 -1.484024e-05 -8.436185e-05 1.747396e-05
-7.500000e+00 -7.904329e+00 9.999954e-01 9.999448e-01 1.000057e+00 9.999942e-01 1.195230e+00 1 0 1.566638e-04 5.296097e-05 3.436289e-05 -1.780204e-05 -1.859808e-05
-7.404329e+00 -7.387260e+00 1.000007e+00 9.999770e-01 1.000032e+00 1.000010e+00 1.195232e+00 1 0 4.707500e-05 4.395200e-05 -4.624540e-06 -6.797596e-05 -4.857654e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.904329e+00 -7.310452e+00 1.000008e+00 9.999967e-01 1.000018e+00 1.000011e+00 1.195236e+00 1 0 3.665089e-05 -1.476566e-05 -2.475508e-05 -3.727444e-05 -9.989429e-06
-6.823223e+00 -6.800459e+00 9.999972e-01 9.999942e-01 1.000001e+00 9.999961e-01 1.195226e+00 1 0 2.619778e-05 -7.978376e-06 2.590003e-06 -3.200333e-05 1.056838e-05
-7.404329e+00 -7.387260e+00 1.000006e+00 9.999771e-01 1.000031e+00 1.000009e+00 1.195232e+00 1 0 4.887429e-05 3.109756e-06 -1.236008e-05 -5.388864e-05 -1.546984e-05
-7.323223e+00 -6.873285e+00 9.999919e-01 9.999819e-01 1.000002e+00 9.999887e-01 1.195221e+00 1 0 2.541634e-05 2.976012e-06 7.679433e-06 -6.388033e-05 4.703421e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.823223e+00 -6.800459e+00 9.999965e-01 9.999939e-01 1.000000e+00 9.999952e-01 1.195226e+00 1 0 2.566057e-05 2.122491e-06 1.428115e-06 -7.091595e-06 -6.943765e-07
-6.769030e+00 -6.294232e+00 9.999976e-01 9.999971e-01 9.999985e-01 9.999966e-01 1.195226e+00 1 0 1.493539e-05 5.868498e-06 1.039784e-05 -3.266800e-06 4.529347e-06
-7.323223e+00 -6.873285e+00 9.999902e-01 9.999813e-01 1.000000e+00 9.999862e-01 1.195220e+00 1 0 2.474793e-05 1.034177e-05 3.216475e-06 -2.048366e-05 -7.125292e-06
-7.269030e+00 -6.364230e+00 9.999904e-01 9.999893e-01 9.999936e-01 9.999867e-01 1.195221e+00 1 0 1.565795e-05 1.581147e-05 1.252314e-05 -1.163171e-05 -3.288332e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
-6.769030e+00 -6.294232e+00 9.999976e-01 9.999972e-01 9.999986e-01 9.999966e-01 1.195227e+00 1 0 1.503290e-05 4.076885e-06 1.002082e-05 1.576891e-06 5.943935e-06
-6.750000e+00 -5.792133e+00 9.999994e-01 9.999993e-01 9.999994e-01 9.999991e-01 1.195228e+00 1 0 5.008916e-06 4.103904e-06 5.472852e-06 1.756464e-06 1.368948e-06
