VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 -3.904329e+00 9.999908e-01 1.000003e+00 1.000011e+00 9.999872e-01 1.195239e+00 2 0 4.271161e-06 5.596631e-06 9.068643e-06 2.807440e-05 3.472012e-06
4.043291e-01 -3.421938e+00 9.999822e-01 1.000008e+00 1.000021e+00 9.999750e-01 1.195250e+00 2 0 -4.297879e-06 1.568739e-05 1.337599e-05 2.009523e-05 -2.311402e-06
-1.339745e-08 -4.000000e+00 9.999965e-01 1.000001e+00 1.000004e+00 9.999951e-01 1.195233e+00 2 0 6.678475e-07 1.094575e-05 7.066790e-06 2.120771e-05 -3.878957e-06
-9.567087e-02 -3.518767e+00 9.999872e-01 1.000008e+00 1.000014e+00 9.999821e-01 1.195245e+00 2 0 -9.285818e-07 1.570634e-05 1.059524e-05 2.423399e-05 -5.111107e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 -3.421938e+00 9.999828e-01 1.000009e+00 1.000020e+00 9.999756e-01 1.195251e+00 2 0 1.718704e-06 -5.831530e-06 1.653531e-05 -1.286122e-05 2.236684e-05
3.232233e-01 -2.937215e+00 9.999910e-01 1.000005e+00 1.000012e+00 9.999877e-01 1.195240e+00 2 0 -1.253822e-05 -1.084819e-05 -7.246367e-06 -2.710941e-05 3.601821e-06
-9.567087e-02 -3.518767e+00 9.999862e-01 1.000008e+00 1.000014e+00 9.999808e-01 1.195245e+00 2 0 4.628936e-06 5.214216e-06 8.722502e-06 2.070000e-05 3.508286e-06
-1.767767e-01 -3.034599e+00 9.999820e-01 1.000012e+00 1.000020e+00 9.999746e-01 1.195252e+00 2 0 -1.735490e-05 1.084613e-05 -1.540244e-05 -1.943748e-06 -2.624857e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 -2.937215e+00 9.999924e-01 1.000006e+00 1.000009e+00 9.999900e-01 1.195239e+00 2 0 -1.455596e-05 1.529235e-06 -5.645263e-06 -3.542694e-05 -7.174498e-06
2.690301e-01 -2.447568e+00 1.000005e+00 9.999995e-01 1.000001e+00 1.000007e+00 1.195228e+00 2 0 -2.143979e-05 -3.992994e-05 -2.451994e-05 3.310375e-06 1.541000e-05
-1.767767e-01 -3.034599e+00 9.999843e-01 1.000013e+00 1.000018e+00 9.999774e-01 1.195251e+00 2 0 -1.984790e-05 7.655632e-06 -9.076219e-06 -3.868225e-05 -1.673185e-05
-2.309699e-01 -2.545103e+00 9.999951e-01 1.000012e+00 1.000005e+00 9.999938e-01 1.195239e+00 2 0 -1.546513e-05 -2.111426e-05 8.369440e-06 -1.566672e-05 2.948370e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 -2.447568e+00 1.000003e+00 9.999938e-01 1.000006e+00 1.000003e+00 1.195228e+00 2 0 -5.185251e-05 8.251080e-05 -4.218743e-05 1.110932e-04 -1.246982e-04
2.500000e-01 -1.951227e+00 9.999579e-01 1.000033e+00 1.000058e+00 9.999401e-01 1.195294e+00 2 0 6.392774e-05 3.700950e-05 -5.882724e-05 1.168258e-04 -9.583673e-05
